date	page	views	visitors	avg_time_sec
2023-01-23	category_electronics	969	593	80
2023-01-23	landing_campaign	332	286	61
2023-01-24	home	4598	4103	58
2023-01-24	product_page	1789	1072	67
2023-01-24	blog_post	843	675	113
2023-01-24	pricing	487	418	25
2023-01-24	about	174	133	40
2023-01-24	contact	83	51	56
2023-01-24	faq	156	101	55
2023-01-24	category_gaming	726	421	57
2023-01-24	category_electronics	965	392	76
2023-01-24	landing_campaign	274	241	67
2023-01-25	home	5182	2293	43
2023-01-25	product_page	1296	904	62
2023-01-25	blog_post	865	436	119
2023-01-25	pricing	424	210	62
2023-01-25	about	214	146	51
2023-01-25	contact	130	80	20
2023-01-25	faq	192	91	28
2023-01-25	category_gaming	676	590	56
2023-01-25	category_electronics	596	430	48
2023-01-25	landing_campaign	306	146	58
2023-01-26	home	6157	2546	79
2023-01-26	product_page	1159	852	49
2023-01-26	blog_post	796	578	127
2023-01-26	pricing	409	213	56
2023-01-26	about	239	194	66
2023-01-26	contact	134	67	44
2023-01-26	faq	176	71	55
2023-01-26	category_gaming	485	410	86
2023-01-26	category_electronics	696	368	75
2023-01-26	landing_campaign	387	206	33
2023-01-27	home	4362	2948	86
2023-01-27	product_page	955	834	51
2023-01-27	blog_post	793	661	125
2023-01-27	pricing	494	395	59
2023-01-27	about	204	109	59
2023-01-27	contact	142	75	70
2023-01-27	faq	166	148	57
2023-01-27	category_gaming	522	279	61
2023-01-27	category_electronics	778	417	45
2023-01-27	landing_campaign	421	343	70
2023-01-28	home	3738	2617	74
2023-01-28	product_page	733	628	67
2023-01-28	blog_post	1664	822	100
2023-01-28	pricing	272	190	62
2023-01-28	about	130	70	38
2023-01-28	contact	86	47	46
2023-01-28	faq	92	67	99
2023-01-28	category_gaming	438	222	62
2023-01-28	category_electronics	460	298	61
2023-01-28	landing_campaign	161	126	74
2023-01-29	home	3581	2664	86
2023-01-29	product_page	662	535	53
2023-01-29	blog_post	630	337	134
2023-01-29	pricing	211	94	77
2023-01-29	about	142	69	69
2023-01-29	contact	83	63	61
2023-01-29	faq	117	87	76
2023-01-29	category_gaming	402	259	69
2023-01-29	category_electronics	536	262	63
2023-01-29	landing_campaign	242	100	62
2023-01-30	home	4524	3900	75
2023-01-30	product_page	1515	1245	58
2023-01-30	blog_post	985	412	112
2023-01-30	pricing	340	156	67
2023-01-30	about	223	127	52
2023-01-30	contact	103	57	62
2023-01-30	faq	197	110	62
2023-01-30	category_gaming	732	518	64
2023-01-30	category_electronics	765	665	75
2023-01-30	landing_campaign	383	230	49
2023-01-31	home	7262	6077	54
2023-01-31	product_page	969	744	33
2023-01-31	blog_post	809	467	115
2023-01-31	pricing	366	189	44
2023-01-31	about	214	126	63
2023-01-31	contact	90	78	70
2023-01-31	faq	185	161	56
2023-01-31	category_gaming	872	421	50
2023-01-31	category_electronics	774	544	67
2023-01-31	landing_campaign	247	120	61
2023-02-01	home	5004	3952	51
2023-02-01	product_page	1226	1084	57
2023-02-01	blog_post	1071	801	111
2023-02-01	pricing	464	237	54
2023-02-01	about	227	158	37
2023-02-01	contact	96	80	62
2023-02-01	faq	150	126	54
2023-02-01	category_gaming	716	483	76
2023-02-01	category_electronics	752	440	48
2023-02-01	landing_campaign	375	242	45
2023-02-02	home	5091	4203	63
2023-02-02	product_page	633	440	46
2023-02-02	blog_post	818	604	135
2023-02-02	pricing	333	279	66
2023-02-02	about	240	198	76
2023-02-02	contact	117	95	70
2023-02-02	faq	192	136	77
2023-02-02	category_gaming	597	501	67
2023-02-02	category_electronics	753	427	62
2023-02-02	landing_campaign	296	239	67
2023-02-03	home	5543	2234	79
2023-02-03	product_page	1487	1324	37
2023-02-03	blog_post	703	504	131
2023-02-03	pricing	540	244	63
2023-02-03	about	229	201	83
2023-02-03	contact	130	112	38
2023-02-03	faq	154	84	62
2023-02-03	category_gaming	626	432	62
2023-02-03	category_electronics	911	385	37
2023-02-03	landing_campaign	349	143	52
2023-02-04	home	4544	3370	59
2023-02-04	product_page	657	590	53
2023-02-04	blog_post	460	221	87
2023-02-04	pricing	323	164	74
2023-02-04	about	152	110	51
2023-02-04	contact	71	61	42
2023-02-04	faq	140	83	43
2023-02-04	category_gaming	501	258	56
2023-02-04	category_electronics	418	347	81
2023-02-04	landing_campaign	237	116	59
2023-02-05	home	3869	3038	66
2023-02-05	product_page	944	673	69
2023-02-05	blog_post	606	483	130
2023-02-05	pricing	248	114	59
2023-02-05	about	132	66	87
2023-02-05	contact	65	44	59
2023-02-05	faq	124	68	50
2023-02-05	category_gaming	423	184	59
2023-02-05	category_electronics	480	336	23
2023-02-05	landing_campaign	254	210	43
2023-02-06	home	4719	2458	59
2023-02-06	product_page	1802	1353	59
2023-02-06	blog_post	853	480	120
2023-02-06	pricing	383	220	60
2023-02-06	about	187	127	55
2023-02-06	contact	126	63	69
2023-02-06	faq	200	83	73
2023-02-06	category_gaming	842	703	65
2023-02-06	category_electronics	876	499	69
2023-02-06	landing_campaign	336	271	74
2023-02-07	home	7238	4800	49
2023-02-07	product_page	1251	538	63
2023-02-07	blog_post	796	665	112
2023-02-07	pricing	373	296	52
2023-02-07	about	219	148	92
2023-02-07	contact	94	84	71
2023-02-07	faq	166	82	61
2023-02-07	category_gaming	612	254	63
2023-02-07	category_electronics	742	618	34
2023-02-07	landing_campaign	377	231	73
2023-02-08	home	4505	4026	38
2023-02-08	product_page	1014	773	90
2023-02-08	blog_post	1026	872	119
2023-02-08	pricing	333	231	51
2023-02-08	about	269	206	80
2023-02-08	contact	117	99	49
2023-02-08	faq	151	133	49
2023-02-08	category_gaming	694	448	55
2023-02-08	category_electronics	835	519	54
2023-02-08	landing_campaign	220	153	63
2023-02-09	home	5219	4617	43
2023-02-09	product_page	1485	835	41
2023-02-09	blog_post	821	726	125
2023-02-09	pricing	338	147	55
2023-02-09	about	223	126	40
2023-02-09	contact	106	55	78
2023-02-09	faq	202	97	72
2023-02-09	category_gaming	746	475	78
2023-02-09	category_electronics	817	565	66
2023-02-09	landing_campaign	316	144	65
2023-02-10	home	5460	3634	59
2023-02-10	product_page	1298	1125	44
2023-02-10	blog_post	893	375	90
2023-02-10	pricing	450	375	66
2023-02-10	about	253	163	16
2023-02-10	contact	95	39	66
2023-02-10	faq	193	96	44
2023-02-10	category_gaming	689	428	50
2023-02-10	category_electronics	750	559	63
2023-02-10	landing_campaign	329	233	90
2023-02-11	home	3791	1573	75
2023-02-11	product_page	909	671	66
2023-02-11	blog_post	645	385	102
2023-02-11	pricing	260	189	64
2023-02-11	about	145	121	64
2023-02-11	contact	77	59	81
2023-02-11	faq	106	59	74
2023-02-11	category_gaming	510	398	68
2023-02-11	category_electronics	492	397	80
2023-02-11	landing_campaign	224	90	44
2023-02-12	home	3074	1838	38
2023-02-12	product_page	765	477	83
2023-02-12	blog_post	532	273	100
2023-02-12	pricing	301	220	49
2023-02-12	about	132	77	93
2023-02-12	contact	74	47	76
2023-02-12	faq	87	60	35
2023-02-12	category_gaming	595	465	70
2023-02-12	category_electronics	561	492	72
2023-02-12	landing_campaign	212	183	65
2023-02-13	home	4895	3147	55
2023-02-13	product_page	1151	637	45
2023-02-13	blog_post	907	503	140
2023-02-13	pricing	541	290	71
2023-02-13	about	188	92	56
2023-02-13	contact	94	62	68
2023-02-13	faq	150	102	64
2023-02-13	category_gaming	801	540	58
2023-02-13	category_electronics	787	689	53
2023-02-13	landing_campaign	391	329	65
2023-02-14	home	4938	3483	50
2023-02-14	product_page	1553	1320	55
2023-02-14	blog_post	718	567	109
2023-02-14	pricing	494	302	51
2023-02-14	about	198	140	64
2023-02-14	contact	147	71	41
2023-02-14	faq	181	92	66
2023-02-14	category_gaming	784	527	84
2023-02-14	category_electronics	708	493	39
2023-02-14	landing_campaign	346	162	59
2023-02-15	home	4854	2980	84
2023-02-15	product_page	1518	1359	76
2023-02-15	blog_post	958	514	144
2023-02-15	pricing	368	212	49
2023-02-15	about	221	95	48
2023-02-15	contact	100	67	70
2023-02-15	faq	173	115	72
2023-02-15	category_gaming	545	400	41
2023-02-15	category_electronics	966	611	66
2023-02-15	landing_campaign	335	294	49
2023-02-16	home	5966	2985	46
2023-02-16	product_page	1142	713	61
2023-02-16	blog_post	785	574	138
2023-02-16	pricing	406	193	38
2023-02-16	about	260	171	62
2023-02-16	contact	97	75	63
2023-02-16	faq	168	132	57
2023-02-16	category_gaming	556	322	46
2023-02-16	category_electronics	559	334	67
2023-02-16	landing_campaign	438	288	43
2023-02-17	home	5514	4940	72
2023-02-17	product_page	1248	1079	66
2023-02-17	blog_post	894	527	118
2023-02-17	pricing	479	264	68
2023-02-17	about	215	104	48
2023-02-17	contact	93	82	79
2023-02-17	faq	192	89	67
2023-02-17	category_gaming	907	709	55
2023-02-17	category_electronics	774	463	40
2023-02-17	landing_campaign	312	135	45
2023-02-18	home	3711	3276	67
2023-02-18	product_page	644	420	50
2023-02-18	blog_post	505	363	117
2023-02-18	pricing	318	230	40
2023-02-18	about	142	60	82
2023-02-18	contact	67	30	53
2023-02-18	faq	100	74	55
2023-02-18	category_gaming	442	397	49
2023-02-18	category_electronics	548	303	77
2023-02-18	landing_campaign	237	145	94
2023-02-19	home	2925	1707	56
2023-02-19	product_page	1043	799	55
2023-02-19	blog_post	537	219	81
2023-02-19	pricing	332	155	48
2023-02-19	about	114	46	62
2023-02-19	contact	62	41	59
2023-02-19	faq	130	58	57
2023-02-19	category_gaming	362	203	59
2023-02-19	category_electronics	501	294	85
2023-02-19	landing_campaign	191	151	25
2023-02-20	home	4966	3695	75
2023-02-20	product_page	1007	826	53
2023-02-20	blog_post	1169	852	110
2023-02-20	pricing	459	324	71
2023-02-20	about	221	104	48
2023-02-20	contact	111	82	85
2023-02-20	faq	156	67	62
2023-02-20	category_gaming	582	319	79
2023-02-20	category_electronics	911	665	50
2023-02-20	landing_campaign	308	138	53
2023-02-21	home	6501	3461	70
2023-02-21	product_page	1445	853	79
2023-02-21	blog_post	840	594	116
2023-02-21	pricing	484	321	78
2023-02-21	about	199	177	73
2023-02-21	contact	134	103	86
2023-02-21	faq	178	82	76
2023-02-21	category_gaming	717	367	56
2023-02-21	category_electronics	651	403	30
2023-02-21	landing_campaign	359	186	62
2023-02-22	home	5336	4500	55
2023-02-22	product_page	1058	854	73
2023-02-22	blog_post	861	669	124
2023-02-22	pricing	521	398	57
2023-02-22	about	242	118	77
2023-02-22	contact	115	99	60
2023-02-22	faq	175	141	50
2023-02-22	category_gaming	665	545	37
2023-02-22	category_electronics	808	561	85
2023-02-22	landing_campaign	236	161	61
2023-02-23	home	6143	4411	65
2023-02-23	product_page	1201	757	67
2023-02-23	blog_post	855	684	107
2023-02-23	pricing	458	351	38
2023-02-23	about	181	104	66
2023-02-23	contact	115	46	81
2023-02-23	faq	146	128	69
2023-02-23	category_gaming	518	245	43
2023-02-23	category_electronics	856	768	54
2023-02-23	landing_campaign	290	220	28
2023-02-24	home	5706	3399	73
2023-02-24	product_page	1658	665	48
2023-02-24	blog_post	681	542	138
2023-02-24	pricing	453	290	47
2023-02-24	about	202	139	62
2023-02-24	contact	141	98	88
2023-02-24	faq	191	102	68
2023-02-24	category_gaming	661	289	79
2023-02-24	category_electronics	753	596	53
2023-02-24	landing_campaign	378	248	70
2023-02-25	home	3049	1719	57
2023-02-25	product_page	771	393	57
2023-02-25	blog_post	722	649	129
2023-02-25	pricing	302	184	68
2023-02-25	about	174	79	68
2023-02-25	contact	86	50	55
2023-02-25	faq	141	69	83
2023-02-25	category_gaming	348	143	42
2023-02-25	category_electronics	526	288	33
2023-02-25	landing_campaign	255	209	57
2023-02-26	home	3963	2493	52
2023-02-26	product_page	735	323	59
2023-02-26	blog_post	586	362	146
2023-02-26	pricing	334	160	71
2023-02-26	about	125	96	64
2023-02-26	contact	77	33	61
2023-02-26	faq	108	57	56
2023-02-26	category_gaming	465	244	56
2023-02-26	category_electronics	585	365	47
2023-02-26	landing_campaign	203	87	59
2023-02-27	home	3512	2014	73
2023-02-27	product_page	1373	933	61
2023-02-27	blog_post	676	517	112
2023-02-27	pricing	368	251	68
2023-02-27	about	236	166	59
2023-02-27	contact	97	46	55
2023-02-27	faq	147	121	47
2023-02-27	category_gaming	763	348	99
2023-02-27	category_electronics	822	356	70
2023-02-27	landing_campaign	350	154	87
2023-02-28	home	4632	2236	16
2023-02-28	product_page	1235	748	90
2023-02-28	blog_post	965	416	150
2023-02-28	pricing	534	336	60
2023-02-28	about	199	95	48
2023-02-28	contact	129	85	48
2023-02-28	faq	173	145	56
2023-02-28	category_gaming	626	391	67
2023-02-28	category_electronics	875	585	58
2023-02-28	landing_campaign	282	205	59
2023-03-01	home	5279	4158	77
2023-03-01	product_page	981	781	63
2023-03-01	blog_post	1155	922	136
2023-03-01	pricing	503	335	57
2023-03-01	about	242	192	47
2023-03-01	contact	126	107	53
2023-03-01	faq	160	78	53
2023-03-01	category_gaming	707	336	71
2023-03-01	category_electronics	1033	456	43
2023-03-01	landing_campaign	348	227	63
2023-03-02	home	5572	4970	66
2023-03-02	product_page	1586	766	81
2023-03-02	blog_post	877	421	134
2023-03-02	pricing	453	300	55
2023-03-02	about	245	107	64
2023-03-02	contact	99	82	68
2023-03-02	faq	173	130	79
2023-03-02	category_gaming	645	522	30
2023-03-02	category_electronics	538	348	50
2023-03-02	landing_campaign	313	152	74
2023-03-03	home	6351	2859	68
2023-03-03	product_page	1238	710	53
2023-03-03	blog_post	1121	813	115
2023-03-03	pricing	348	285	78
2023-03-03	about	239	171	59
2023-03-03	contact	119	66	48
2023-03-03	faq	157	76	63
2023-03-03	category_gaming	635	519	67
2023-03-03	category_electronics	892	666	39
2023-03-03	landing_campaign	240	121	61
2023-03-04	home	4049	3383	62
2023-03-04	product_page	1000	732	70
2023-03-04	blog_post	638	469	116
2023-03-04	pricing	257	160	62
2023-03-04	about	175	117	58
2023-03-04	contact	78	35	59
2023-03-04	faq	103	79	58
2023-03-04	category_gaming	436	361	66
2023-03-04	category_electronics	566	439	56
2023-03-04	landing_campaign	255	137	52
2023-03-05	home	3967	1778	87
2023-03-05	product_page	647	452	55
2023-03-05	blog_post	506	390	103
2023-03-05	pricing	320	222	73
2023-03-05	about	148	117	57
2023-03-05	contact	76	68	52
2023-03-05	faq	113	48	77
2023-03-05	category_gaming	474	216	77
2023-03-05	category_electronics	603	506	67
2023-03-05	landing_campaign	247	151	100
2023-03-06	home	5086	4002	32
2023-03-06	product_page	1533	953	63
2023-03-06	blog_post	1120	779	139
2023-03-06	pricing	382	250	71
2023-03-06	about	217	139	47
2023-03-06	contact	119	83	62
2023-03-06	faq	170	121	85
2023-03-06	category_gaming	666	386	57
2023-03-06	category_electronics	717	336	59
2023-03-06	landing_campaign	327	162	28
2023-03-07	home	4367	2198	71
2023-03-07	product_page	1311	529	60
2023-03-07	blog_post	860	689	108
2023-03-07	pricing	483	264	100
2023-03-07	about	220	97	70
2023-03-07	contact	97	55	64
2023-03-07	faq	196	126	60
2023-03-07	category_gaming	636	379	50
2023-03-07	category_electronics	576	491	36
2023-03-07	landing_campaign	377	209	82
2023-03-08	home	5231	2766	62
2023-03-08	product_page	1383	1027	50
2023-03-08	blog_post	866	543	106
2023-03-08	pricing	391	238	55
2023-03-08	about	221	97	61
2023-03-08	contact	121	88	57
2023-03-08	faq	141	98	81
2023-03-08	category_gaming	697	583	71
2023-03-08	category_electronics	717	610	65
2023-03-08	landing_campaign	341	160	48
2023-03-09	home	5611	3072	56
2023-03-09	product_page	1897	800	52
2023-03-09	blog_post	924	528	104
2023-03-09	pricing	509	418	79
2023-03-09	about	203	149	86
2023-03-09	contact	96	76	43
2023-03-09	faq	204	165	56
2023-03-09	category_gaming	492	340	49
2023-03-09	category_electronics	944	710	35
2023-03-09	landing_campaign	288	139	82
2023-03-10	home	4704	3975	56
2023-03-10	product_page	1157	477	53
2023-03-10	blog_post	1079	615	140
2023-03-10	pricing	441	245	49
2023-03-10	about	258	150	84
2023-03-10	contact	144	67	53
2023-03-10	faq	157	102	59
2023-03-10	category_gaming	3330	558	66
2023-03-10	category_electronics	779	373	54
2023-03-10	landing_campaign	246	209	54
2023-03-11	home	4153	2913	54
2023-03-11	product_page	693	395	37
2023-03-11	blog_post	493	333	122
2023-03-11	pricing	371	303	63
2023-03-11	about	109	57	51
2023-03-11	contact	60	52	47
2023-03-11	faq	79	54	71
2023-03-11	category_gaming	439	313	43
2023-03-11	category_electronics	326	292	55
2023-03-11	landing_campaign	235	160	73
2023-03-12	home	3066	1832	67
2023-03-12	product_page	898	603	51
2023-03-12	blog_post	624	416	127
2023-03-12	pricing	284	226	64
2023-03-12	about	164	143	54
2023-03-12	contact	73	65	42
2023-03-12	faq	131	90	59
2023-03-12	category_gaming	353	177	47
2023-03-12	category_electronics	479	314	80
2023-03-12	landing_campaign	317	263	55
2023-03-13	home	5593	4551	64
2023-03-13	product_page	1437	1261	82
2023-03-13	blog_post	875	723	117
2023-03-13	pricing	530	448	56
2023-03-13	about	245	174	15
2023-03-13	contact	145	110	56
2023-03-13	faq	149	81	66
2023-03-13	category_gaming	793	427	52
2023-03-13	category_electronics	902	493	67
2023-03-13	landing_campaign	364	171	70
2023-03-14	home	6317	4606	71
2023-03-14	product_page	1472	1040	66
2023-03-14	blog_post	898	394	106
2023-03-14	pricing	340	147	35
2023-03-14	about	198	159	55
2023-03-14	contact	113	62	69
2023-03-14	faq	169	134	47
2023-03-14	category_gaming	658	287	61
2023-03-14	category_electronics	599	309	48
2023-03-14	landing_campaign	382	330	50
2023-03-15	home	6341	3555	57
2023-03-15	product_page	1040	749	58
2023-03-15	blog_post	910	526	124
2023-03-15	pricing	393	331	65
2023-03-15	about	123	85	62
2023-03-15	contact	101	74	62
2023-03-15	faq	189	153	45
2023-03-15	category_gaming	700	462	80
2023-03-15	category_electronics	836	447	52
2023-03-15	landing_campaign	245	114	59
2023-03-16	home	5196	4023	62
2023-03-16	product_page	1226	659	60
2023-03-16	blog_post	858	703	122
2023-03-16	pricing	393	177	76
2023-03-16	about	180	147	47
2023-03-16	contact	130	109	50
2023-03-16	faq	190	111	57
2023-03-16	category_gaming	670	397	89
2023-03-16	category_electronics	958	385	73
2023-03-16	landing_campaign	364	266	47
2023-03-17	home	5715	3137	62
2023-03-17	product_page	1394	1006	55
2023-03-17	blog_post	883	775	113
2023-03-17	pricing	259	162	60
2023-03-17	about	206	120	41
2023-03-17	contact	133	109	55
2023-03-17	faq	184	117	42
2023-03-17	category_gaming	649	479	65
2023-03-17	category_electronics	605	283	72
2023-03-17	landing_campaign	403	224	72
2023-03-18	home	909	568	84
2023-03-18	product_page	273	122	57
2023-03-18	blog_post	487	122	117
2023-03-18	pricing	65	44	61
2023-03-18	about	42	22	45
2023-03-18	contact	24	13	23
2023-03-18	faq	32	23	56
2023-03-18	category_gaming	172	79	63
2023-03-18	category_electronics	171	93	70
2023-03-18	landing_campaign	63	27	62
2023-03-19	home	3817	2191	83
2023-03-19	product_page	1036	919	39
2023-03-19	blog_post	617	487	123
2023-03-19	pricing	198	109	45
2023-03-19	about	148	114	35
2023-03-19	contact	67	58	59
2023-03-19	faq	113	99	63
2023-03-19	category_gaming	437	224	50
2023-03-19	category_electronics	496	352	55
2023-03-19	landing_campaign	238	112	81
2023-03-20	home	6061	3600	77
2023-03-20	product_page	1116	639	72
2023-03-20	blog_post	870	552	126
2023-03-20	pricing	473	203	69
2023-03-20	about	197	92	91
2023-03-20	contact	113	58	68
2023-03-20	faq	220	96	60
2023-03-20	category_gaming	762	479	50
2023-03-20	category_electronics	527	222	83
2023-03-20	landing_campaign	328	165	41
2023-03-21	home	5276	4644	68
2023-03-21	product_page	1363	722	64
2023-03-21	blog_post	1176	513	99
2023-03-21	pricing	462	228	60
2023-03-21	about	240	186	60
2023-03-21	contact	111	84	41
2023-03-21	faq	187	137	40
